stage,split,task,semantic_family,original_parameter,runtime_purity,event,prefix,operator_arm,tail_horizon,configured_action_budget,configured_call_budget,actual_usage,safe_success,diagnostic_only,formal_positive_evidence_allowed,new_idea_generated
stage2c,calibration+evaluation,put_the_bowl_on_the_stove,path_obstacle,future_14_lateral_020mm,shared_runtime_no_detected_violation,6_event_instances,k=2..16,hold_one_step_then_fresh_h16,operator-defined,event_remaining_horizon (not a preset grid),padded event budget (not a preset grid),"{""mean_actor_calls"":62.37777777777778,""mean_post_detection_actions"":255.0}",0.007407407407407408,True,False,False
stage2c,calibration+evaluation,put_the_bowl_on_the_stove,path_obstacle,future_14_lateral_020mm,shared_runtime_no_detected_violation,6_event_instances,k=2..16,rollback_one_step_then_fresh_h16,operator-defined,event_remaining_horizon (not a preset grid),padded event budget (not a preset grid),"{""mean_actor_calls"":62.37777777777778,""mean_post_detection_actions"":255.0}",0.003703703703703704,True,False,False
stage2c,calibration+evaluation,put_the_cream_cheese_in_the_bowl,target_shift,shift_040mm,shared_runtime_no_detected_violation,24_event_instances,k=2..16,fresh_h16,operator-defined,event_remaining_horizon (not a preset grid),padded event budget (not a preset grid),"{""mean_actor_calls"":64.04166666666667,""mean_post_detection_actions"":261.6666666666667}",0.0787037037037037,True,False,False
stage2c,calibration+evaluation,put_the_cream_cheese_in_the_bowl,target_shift,shift_040mm,shared_runtime_no_detected_violation,24_event_instances,k=2..16,fresh_h4,operator-defined,event_remaining_horizon (not a preset grid),padded event budget (not a preset grid),"{""mean_actor_calls"":64.04166666666667,""mean_post_detection_actions"":261.6666666666667}",0.075,True,False,False
stage2c,calibration+evaluation,put_the_cream_cheese_in_the_bowl,target_shift,shift_040mm,shared_runtime_no_detected_violation,24_event_instances,k=2..16,hold_one_step_then_fresh_h16,operator-defined,event_remaining_horizon (not a preset grid),padded event budget (not a preset grid),"{""mean_actor_calls"":64.04166666666667,""mean_post_detection_actions"":261.6666666666667}",0.025,True,False,False
stage2c,calibration+evaluation,put_the_cream_cheese_in_the_bowl,target_shift,shift_040mm,shared_runtime_no_detected_violation,24_event_instances,k=2..16,rollback_one_step_then_fresh_h16,operator-defined,event_remaining_horizon (not a preset grid),padded event budget (not a preset grid),"{""mean_actor_calls"":64.04166666666667,""mean_post_detection_actions"":261.6666666666667}",0.03888888888888889,True,False,False
stage2c,calibration+evaluation,put_the_cream_cheese_in_the_bowl,target_shift,shift_060mm,shared_runtime_no_detected_violation,24_event_instances,k=2..16,fresh_h16,operator-defined,event_remaining_horizon (not a preset grid),padded event budget (not a preset grid),"{""mean_actor_calls"":64.83611111111111,""mean_post_detection_actions"":264.8333333333333}",0.041666666666666664,True,False,False
stage2c,calibration+evaluation,put_the_cream_cheese_in_the_bowl,target_shift,shift_060mm,shared_runtime_no_detected_violation,24_event_instances,k=2..16,fresh_h4,operator-defined,event_remaining_horizon (not a preset grid),padded event budget (not a preset grid),"{""mean_actor_calls"":64.83611111111111,""mean_post_detection_actions"":264.8333333333333}",0.027777777777777776,True,False,False
stage2c,calibration+evaluation,put_the_cream_cheese_in_the_bowl,target_shift,shift_060mm,shared_runtime_no_detected_violation,24_event_instances,k=2..16,hold_one_step_then_fresh_h16,operator-defined,event_remaining_horizon (not a preset grid),padded event budget (not a preset grid),"{""mean_actor_calls"":64.83611111111111,""mean_post_detection_actions"":264.8333333333333}",0.010185185185185186,True,False,False
stage2c,calibration+evaluation,put_the_cream_cheese_in_the_bowl,target_shift,shift_060mm,shared_runtime_no_detected_violation,24_event_instances,k=2..16,rollback_one_step_then_fresh_h16,operator-defined,event_remaining_horizon (not a preset grid),padded event budget (not a preset grid),"{""mean_actor_calls"":64.83611111111111,""mean_post_detection_actions"":264.8333333333333}",0.014814814814814815,True,False,False
stage2c,calibration,put_the_bowl_on_the_stove,path_obstacle,future_06_lateral_040mm,all_contaminated,structural cell,calibration,fresh_h16|fresh_h4|hold_one_step_then_fresh_h16|rollback_one_step_then_fresh_h16,operator-defined,event_remaining_horizon,padded_event_budget,"{""arm_event_means"":{""fresh_h16"":0.0462962962962963,""fresh_h4"":0.04814814814814814,""hold_one_step_then_fresh_h16"":0.14074074074074072,""rollback_one_step_then_fresh_h16"":0.049999999999999996}}",0.14074074074074072,True,False,False
stage2c,calibration,put_the_bowl_on_the_stove,path_obstacle,future_14_lateral_020mm,all_contaminated,structural cell,calibration,fresh_h16|fresh_h4|hold_one_step_then_fresh_h16|rollback_one_step_then_fresh_h16,operator-defined,event_remaining_horizon,padded_event_budget,"{""arm_event_means"":{""fresh_h16"":0.2518518518518518,""fresh_h4"":0.15740740740740738,""hold_one_step_then_fresh_h16"":0.30370370370370364,""rollback_one_step_then_fresh_h16"":0.20925925925925923}}",0.30370370370370364,True,False,False
stage2c,calibration,put_the_cream_cheese_in_the_bowl,target_shift,shift_040mm,all_contaminated,structural cell,calibration,fresh_h16|fresh_h4|hold_one_step_then_fresh_h16|rollback_one_step_then_fresh_h16,operator-defined,event_remaining_horizon,padded_event_budget,"{""arm_event_means"":{""fresh_h16"":0.1111111111111111,""fresh_h4"":0.10555555555555557,""hold_one_step_then_fresh_h16"":0.031481481481481485,""rollback_one_step_then_fresh_h16"":0.053703703703703705}}",0.1111111111111111,True,False,False
stage2c,calibration,put_the_cream_cheese_in_the_bowl,target_shift,shift_060mm,all_contaminated,structural cell,calibration,fresh_h16|fresh_h4|hold_one_step_then_fresh_h16|rollback_one_step_then_fresh_h16,operator-defined,event_remaining_horizon,padded_event_budget,"{""arm_event_means"":{""fresh_h16"":0.04074074074074074,""fresh_h4"":0.03333333333333333,""hold_one_step_then_fresh_h16"":0.009259259259259259,""rollback_one_step_then_fresh_h16"":0.027777777777777776}}",0.04074074074074074,True,False,False
stage2c,calibration,put_the_bowl_on_the_stove,path_obstacle,future_06_lateral_040mm,replay_valid_subset,structural cell,calibration,fresh_h16|fresh_h4|hold_one_step_then_fresh_h16|rollback_one_step_then_fresh_h16,operator-defined,event_remaining_horizon,padded_event_budget,"{""arm_event_means"":{""fresh_h16"":0.003703703703703704,""fresh_h4"":0.003703703703703704,""hold_one_step_then_fresh_h16"":0.0,""rollback_one_step_then_fresh_h16"":0.0}}",0.003703703703703704,True,False,False
stage2c,calibration,put_the_bowl_on_the_stove,path_obstacle,future_14_lateral_020mm,replay_valid_subset,structural cell,calibration,fresh_h16|fresh_h4|hold_one_step_then_fresh_h16|rollback_one_step_then_fresh_h16,operator-defined,event_remaining_horizon,padded_event_budget,"{""arm_event_means"":{""fresh_h16"":0.07222222222222222,""fresh_h4"":0.044444444444444446,""hold_one_step_then_fresh_h16"":0.011111111111111112,""rollback_one_step_then_fresh_h16"":0.005555555555555556}}",0.07222222222222222,True,False,False
stage2c,calibration,put_the_cream_cheese_in_the_bowl,target_shift,shift_040mm,replay_valid_subset,structural cell,calibration,fresh_h16|fresh_h4|hold_one_step_then_fresh_h16|rollback_one_step_then_fresh_h16,operator-defined,event_remaining_horizon,padded_event_budget,"{""arm_event_means"":{""fresh_h16"":0.1111111111111111,""fresh_h4"":0.10555555555555557,""hold_one_step_then_fresh_h16"":0.031481481481481485,""rollback_one_step_then_fresh_h16"":0.053703703703703705}}",0.1111111111111111,True,False,False
stage2c,calibration,put_the_cream_cheese_in_the_bowl,target_shift,shift_060mm,replay_valid_subset,structural cell,calibration,fresh_h16|fresh_h4|hold_one_step_then_fresh_h16|rollback_one_step_then_fresh_h16,operator-defined,event_remaining_horizon,padded_event_budget,"{""arm_event_means"":{""fresh_h16"":0.04074074074074074,""fresh_h4"":0.03333333333333333,""hold_one_step_then_fresh_h16"":0.009259259259259259,""rollback_one_step_then_fresh_h16"":0.027777777777777776}}",0.04074074074074074,True,False,False
stage2d,calibration,put_the_bowl_on_the_stove,path_obstacle,future_09__clearance_m010mm,fresh_process_verified,structural cell,calibration,CACHED_MATCHED|CACHED_NOQUERY|FRESH_MATCHED|FULL_OLD_CHUNK|HOLD_MATCHED|IMMEDIATE_FRESH,4,18,2,"{""arm_event_means"":{""CACHED_MATCHED"":0.040860215053763436,""CACHED_NOQUERY"":0.040860215053763436,""FRESH_MATCHED"":0.03225806451612903,""FULL_OLD_CHUNK"":0.06451612903225806,""HOLD_MATCHED"":0.025806451612903226,""IMMEDIATE_FRESH"":0.0}}",0.06451612903225806,True,False,False
stage2d,calibration,put_the_bowl_on_the_stove,path_obstacle,future_09__clearance_p000mm,fresh_process_verified,structural cell,calibration,CACHED_MATCHED|CACHED_NOQUERY|FRESH_MATCHED|FULL_OLD_CHUNK|HOLD_MATCHED|IMMEDIATE_FRESH,4,18,2,"{""arm_event_means"":{""CACHED_MATCHED"":0.06666666666666667,""CACHED_NOQUERY"":0.06666666666666667,""FRESH_MATCHED"":0.07291666666666666,""FULL_OLD_CHUNK"":0.09375,""HOLD_MATCHED"":0.01875,""IMMEDIATE_FRESH"":0.0}}",0.09375,True,False,False
stage2d,calibration,put_the_cream_cheese_in_the_bowl,target_shift,shift_060mm,fresh_process_verified,structural cell,calibration,CACHED_MATCHED|CACHED_NOQUERY|FRESH_MATCHED|FULL_OLD_CHUNK|HOLD_MATCHED|IMMEDIATE_FRESH,4,18,2,"{""arm_event_means"":{""CACHED_MATCHED"":0.0,""CACHED_NOQUERY"":0.0,""FRESH_MATCHED"":0.0,""FULL_OLD_CHUNK"":0.0,""HOLD_MATCHED"":0.0,""IMMEDIATE_FRESH"":0.0}}",0.0,True,False,False
stage2d,calibration,put_the_cream_cheese_in_the_bowl,target_shift,shift_080mm,fresh_process_verified,structural cell,calibration,CACHED_MATCHED|CACHED_NOQUERY|FRESH_MATCHED|FULL_OLD_CHUNK|HOLD_MATCHED|IMMEDIATE_FRESH,4,18,2,"{""arm_event_means"":{""CACHED_MATCHED"":0.0,""CACHED_NOQUERY"":0.0,""FRESH_MATCHED"":0.0,""FULL_OLD_CHUNK"":0.0,""HOLD_MATCHED"":0.0,""IMMEDIATE_FRESH"":0.0}}",0.0,True,False,False
